jobs,description,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
Développeur Scala/Java- Big Data  ,"Missions :

-	Participer à la réalisation de l'ensemble des projets métiers (usages)
-	Prendre en charge les demandes de corrections provenant d'incidents ou d'anomalies
-	Participer à l'auto-formation et à la montée en compétences de l'équipe de développement
-	Appliquer les bonnes pratiques et les normes de développement
-	Mettre en pratique les méthodes « devops »
-	Contribuer aux chiffrages des usages et à la constitution des releases
-	Contribuer à l'automatisation du delivery
-	Développer et documenter son code
-	Travailler au sein d'une équipe SCRUM (PO, développeurs, QA, Support)

Compétences techniques 

-	Expérience en architecture de systèmes distribués Big Data
-	Expérience dans des projets gérés en mode agile (SCRUM)
-	Capacité d'analyse
-	Autonomie
-	Travail d'équipe
-	Compétences techniques
-	Scala/Java (expérience obligatoire dans l'un des deux langages)
-	Ecosystème Big Data (Hadoop, Spark, Apache Kafka, Avro ...)
-	Outils de déploiement et orchestration (Kubernetes, Docker, Ansible  )
-	Google Cloud Plateform (GCS, BigQuery, GKE, Cloud Pub/Sub, Dataproc,  )
-	Bases de données NoSQL (Cassandra, BigTable )
-	Moteur de recherche (Elastic Search...)
-	CI/CD (Git, Jenkins, Nexus, Docker Registry,  )

Nous cherchons une personne passionnée, curieuse, autonome, et intéressée par le Software Craftsmanship.
Le profil idéal serait un développeur Scala ayant déjà fait du Big Data.
Votre profil nous intéresse aussi si vous êtes un développeur Java expérimenté et pouvez rapidement monter en compétence sur notre stack.

5 postes à pourvoir",38H Travail en journée,48000.0 - 54000.0,Contrat à durée indéterminée,3 ans,,"application web, concevoir une application web, déterminer des mesures correctives, réaliser un diagnostic technique, rédiger un cahier des charges, des spécifications techniques",Cadre,Conseil en systèmes et logiciels informatiques,LOGAXONE,20 à 49 salariés,"Reconnue et référencée depuis près de 18 ans, la taille humaine de Logaxone lui permet de placer ses collaborateurs au centre de ses préoccupations. L'entreprise met particulièrement l'accent sur les formations et certifications en s'appuyant sur un plan de carrière défini conjointement.Logaxone est une ESN accompagnant ses clients grands comptes sur des projets collaboratifs et d'innovation, de l'élaboration des stratégies jusqu'à leurs réalisations.","jenkins, docker, kubernetes, apache kafka, cassandra",92,ISSY LES MOULINEAUX,2023/08/21
Ingénieur Data - BI,"Omniciel, cabinet de recrutement spécialisé en Informatique et Télécoms, recherche un ingénieur data - BI H/F pour l'un de ses clients finals dans le secteur de l'assurance et de la banque (recrutement en exclusivité).
LE CLIENT, votre futur employeur :
Le siège social de notre client est ancré dans des valeurs fortes de solidarité, de proximité et d'éthique. Présent sur l'ensemble du territoire national, le groupe compte plus de 900 collaborateurs et 600 000 clients.

Rattaché au responsable du département data et big data, au sein d'une équipe de 9 personnes et d'une DSI de 60 collaborateurs, vous participez aux projets de développement, d'intégration, de Business intelligence et de datavisualisation, le tout de manière agile.
Organisé(e) en méthodologie SCRUM (daily et sprint de 2 semaines), vous organisez votre temps de travail en agilité (télétravail possible jusqu'à 2j / semaine) en accord avec la roadmap définie par le responsable de service et le scrum master.
Vous participerez aux cérémonies agiles et aux code review de l'équipe, vous mettez vos compétences au profit de la scalabilité des produits de la société.
Evolution des applications, développements et maintenance :
-	Analyser et traiter les tickets backlog
-	Prendre part aux développements de fonctionnalités d'évolutions
-	Rédiger les résolutions d'incidents et documentations d'évolutions
-	Participer à la reprise de données

Intégration :
-	Concevoir, développer et tester des solutions (intégration, tableau de bord)
-	Consolider et nettoyer les données avant intégration dans l'entrepôt de données
-	Réalisation de certains tests unitaires quantitatifs et qualitatifs
Data Visualisation - Restitution (sur certains projets) :
-	Créer et mettre à jour les tableaux de bords / rapports / KPI et dataviz
-	Suivre mensuellement l'exploitation à l'aide des outils de supervision

Selon vos envies et compétences, évolution possible à terme, par exemple vers le poste de Lead Tech ou en interne vers les équipes fonctionnelles. 
Votre profil :
Diplômé.e d'un BAC +4/5 d'université ou d'école d'ingénieur et vous avez minimum 2 ans d'expériences en tant qu'ingénieur BI dans une structure de taille similaire, idéalement dans un service ayant industrialisé ses processus.
Vous mettez votre rigueur au service de la business intelligence / l'informatique décisionnelle et votre autonomie participe à l'évolution de l'ensemble des outils de la société.
Vous maitrisez :
-	Outils d'ETL (Talend ou SAP Business Object ou Informatica ou Kafka, etc.)
-	Langage et requêtes SQL (dont procédures stockées)
Compétences appréciées :
-	Méthodologie SCRUM dans un service DATA
-	Outils de restitution / dashboard (Power BI, Qlik, SAP BI)
-	Maitriser les notions de SSIS / SSAS / SSRS
Une partie des avantages : télétravail 2 jours, 22 jours de RTT
Salaire : 45-52k€ (selon profil, variable inclus, hors intéressement)",35H Travail en journée,45000.0 - 52000.0,Contrat à durée indéterminée,2 ans,Bac+5 et plus ou équivalents - Informatique,,Agent de maîtrise,Conseil en systèmes et logiciels informatiques,OMNICIEL PROFILS ET SOLUTIONS,1 ou 2 salariés,"Omniciel, cabinet de recrutement spécialisé en IT & Digital, recherche pour ses clients de nouveaux collaborateurs : De formation en informatique type BAC+2/3 ou Ecole d'Ingénieurs vous justifiez d'une première expérience en développement. Vos expériences en stage seront prises en compte. Vous avez une bonne maitrise des langages de programmation orienté objet et vous savez vous approprier rapidement un nouveau langage.","tableau, power bi, talend, informatica, sas",13,AIX EN PROVENCE,2023/08/21
Consultant Data Intelligence,"-	Concevoir, développer et mettre en œuvre des solutions de Business Intelligence pour répondre aux besoins analytiques de l'entreprise.
-	Extraire, nettoyer et transformer les données à partir de différentes sources pour créer des ensembles de données utilisables.
-	Créer des rapports, des tableaux de bord et des visualisations pour aider les équipes décisionnelles à interpréter les données et à prendre des décisions éclairées.
-	Collaborer avec les différentes équipes métier pour comprendre leurs besoins en matière d'analyse de données et de rapports.
-	Fournir un soutien technique et des conseils aux équipes internes concernant l'utilisation des solutions de Business Intelligence.

Compétences requises :

-	Solide expérience dans le domaine de la Business Intelligence, y compris la conception et le développement de solutions BI.
-	Maîtrise de langages et d'outils de requête et de transformation de données tels que SQL, Python, R, ou d'autres langages pertinents.
-	Expérience avec des plateformes BI populaires telles que Tableau, Power BI, MS BI et Talend est fortement recommandé.
-	Capacité à comprendre les besoins commerciaux et à traduire ces besoins en solutions techniques.
-	Bonnes compétences en communication pour collaborer efficacement avec les équipes métier et techniques.
Qualifications :
-	Un diplôme en BI (BAC+5), en sciences des données, en statistiques, en gestion de l'information 
-	Expérience antérieure en tant que consultant en Business Intelligence, analyste de données ou rôle similaire.
-	Idéalement un candidat ayant 2 ans d'expérience au minimum",35H Travail en journée,2600.0 - 2800.0,Contrat à durée indéterminée,2 ans,,"analyser les processus métier, concevoir et gérer un projet, présenter les évolutions du système d'information au commanditaire, recenser les besoins du commanditaire, élaborer des solutions techniques et fonctionnelles",Cadre,Programmation informatique,DAXIOM,"DAXIOM est une startup française qui a été créée par 3 passionnés de l'informatique et toutes ses facettes hardware et software
Une startup spécialisée dans le domaine de la DATA et la Business Intelligence
Nous accompagnons nos clients dans leurs problématiques pour proposer des solutions et architectures informatiques adéquates et sur mesure afin d'optimiser et fiabiliser leurs processus de prise de décisions.",DAXIOM est une startup française qui a été créée par 3 passionnés de l'informatique et toutes ses facettes hardware et softwareUne startup spécialisée dans le domaine de la DATA et la Business IntelligenceNous accompagnons nos clients dans leurs problématiques pour proposer des solutions et architectures informatiques adéquates et sur mesure afin d'optimiser et fiabiliser leurs processus de prise de décisions.,"tableau, power bi, talend",69,RILLIEUX LA PAPE,2023/08/21
ANNOTATEUR DATA,"Dans le cadre du développement de notre START UP OSO AI visant à aider les personnes fragiles et ceux qui s'en occupent, vous utilisez un logiciel d'annotation des sons sur un PC ou une tablette:
- le logiciel joue une bande son d'une dizaine de secondes
- vous sélectionnez parmi la vingtaine de boutons disponibles celui (ou ceux) décrivant au mieux le (ou les) son(s) entendu(s) (porte qui claque, bruit de douche, paroles, TV )

Il s'agit donc d'une tâche très REPETITIVE où l'on vise à annoter 100 sons par heure, et ce pendant 3 à 4 heures par jour / 18h par semaine à articuler selon votre disponibilité.

POSTE MAJORITAIREMENT EN TELETRAVAIL mais les interactions avec le salarié et l'entreprise se feront très régulièrement et sous forme de visioconférence = Prévoir une demi journée de travail tous les 15 jours dans les bureaux de l'entreprise situés SUR BREST.

Débutants acceptés / profils musiciens, personnel de santé... bienvenus.
Votre embauche dépendra de votre réussite aux tests et de votre motivation lors de l'entretien.

PLUSIEURS POSTES à pourvoir, dès que possible.

Merci de transmettre un cv + une LETTRE DE MOTIVATION.",18H Possibilité de télétravail,11.52,Contrat à durée déterminée - 1 Mois,Débutant accepté,Aucune formation scolaire,connaissance et utilisation de l'informatique,Employé non qualifié,Programmation informatique,OSO-AI,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,,29,BREST,2023/08/21
ANALYSTE APPLICATIF DATA FINANCE RH,"Dans le cadre d'un important projet avec un groupe international, nous recherchons un Analyste applicatif data domaine finance et rh.
Intégré à la dsi et encadré par son responsable, vous pilotez et contribué au maintien de la qualité de fonctionnement et au support des applications placées sous votre responsabilité.

Vous êtes féru de manipulation de données et possédez une première expérience dans le domaine IT lié à la Finance et ou RH

De formations supérieure en informatique, vous avez une expérience de 10 ans minimum dans un poste équivalent. Vous possédez une grande aisance dans la manipulation de données et souhaitez travailler dans des projets d'envergure dans un contexte international.
Anglais professionnel nécessaire, contexte international.",35H Travail en journée,50000.0 - 60000.0,Contrat à durée indéterminée,2 ans,,"adapter les outils de traitement statistique de données, définir et faire évoluer des procédés de traitement de l'information, présenter et diffuser les résultats des études réalisées, réaliser une étude, rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,INFORMATIS T.S.,6 à 9 salariés,,,92,ISSY LES MOULINEAUX,2023/08/21
Chef de projet - Innovation / DATA,"Missions :

Prospection des processus alternants aux cas d'usages métier innovants de la roadmap stratégique de Cegedim Santé

Contribution à des groupes de travail internes permettant de définir ou préciser les évolutions innovantes

Contribution à des groupes de travail internes permettant de définir ou préciser les évolutions innovantes

Contribution à la construction et à l'application d'une doctrine sémantique au sein de Cegedim Santé

Profil :

Diplômé(e) d'un Bac+5 Ecole de commerce ou Université, vous justifiez d'une expérience significative (stage ou alternance) dans un poste similaire.

Démarrage : A partir de septembre.

Localisation : Boulogne Billancourt (92).

Type de contrat : CDI à temps plein.

Gestion du serveur multi terminologique ""Hetop"" de Cegedim Santé

Participation à des événements sur la e-santé régionnaux/ nationaux à des fins de veille



Activités principales :

La veille réglementaire métier

La constitution et l'animation d'une communauté médicale

L'innovation en lien avec la direction produit et les données de santé

La collaboration avec les instances stratégiques nationales

La gestion de l'activité observatoire",35H Travail en journée,35000.0 - 50000.0,Contrat à durée indéterminée,12 mois,,"application web, concevoir une application web, recueillir et analyser les besoins client, rédiger un cahier des charges, des spécifications techniques, surveiller le fonctionnement d'applicatifs et logiciels",Cadre,"Traitement de données, hébergement et activités connexes",CEGEDIM,250 à 499 salariés,"Fondée en 1969, Cegedim est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l écosystème santé et BtoB, ainsi que dans la conception de logiciels métier destinés aux professionnels de santé et de l assurance. Entité :C-MEDIA, filiale du Groupe CEGEDIM, est leader de la communication en pharmacie et parapharmacie d enseigne.",,92,BOULOGNE BILLANCOURT,2023/08/21
chargé de projet CRM et data,"Vos missions 

-	Vous avez la charge du développement de campagnes CRM pour la destination : conception back-office (avec Do List), rédaction, suivi, améliorations. 
-	Vous intégrez l'équipe du pôle communication pour décliner la stratégie globale et saison par saison, en vous nourrissant de toutes nos sources d'information et d'offres. Vous serez amené.e à travailler en collaboration avec notre référente CRM
-	Vous exploitez les données CRM pour analyser le comportement des clients, segmenter les contacts et créer des scénarios personnalisés de marketing automatisé. 
-	Vous êtes garant.e de la cohérence des ciblages et des messages, de la gestion de la pression et du respect des règles de délivrabilité, dans le but de renforcer la relation avec nos clients et de les inciter à rester engagés avec notre destination. 
-	Vous participez directement au lancement d'un programme de fidélisation-valorisation de nos clients à forte valeur d'attachement, en collaboration avec notre référente en charge du programme fidélité. 
-	Vous êtes force de proposition pour développer la performance et le volume de notre programme CRM : recrutement de contacts, promotion terrain, jeux, etc. 
-	Vous contribuez également à l'amélioration du site web destination : rédaction d'articles, optimisations, injection de contenus. 
  
Profil Recherché  

-	Formation de type Bachelor ou Master en marketing/communication digitale ou équivalent 
-	Débutant.e accepté.e 
-	Appétence pour la communication digitale, la relation client 
-	Maîtrise des outils de gestion de la relation clients ; bonnes capacités rédactionnelles 
-	Autonomie, organisation, créativité, d'esprit d'équipe et force de proposition 
-	Maîtrise de la langue anglaise, des outils informatiques courants 
Candidatez (CV et LM) auprès de Marie-Aude PUY - responsable pôle communication/directrice adjointe : direction2@serrechevalier.fr + copie à assistantededirection@serrechevalier.fr",35H Travail en journée,,Contrat à durée indéterminée,Débutant accepté - avec diplôme demandé,Bac+5 et plus ou équivalents marketing digital,"capacités rédactionnelles, maitrise des outils informatiques courants, maîtrise outils de gestion relation clients, concevoir des supports de communication visuelle, concevoir un support de communication audiovisuel, mettre en oeuvre des actions de communication, réaliser des actions de relation publique, de diffusion et de promotion de l'information, rédiger le contenu d'un support de communication",Employé qualifié,Autres services de réservation et activités connexes,OFF TOURISME INTERCOM SERRE CHEVALIER,20 à 49 salariés,"L'Office de Tourisme Serre Chevalier Vallée Briançon s'affiche comme l'ambassadeur de la station. Il pilote l'ensemble du marketing territoire, contribue au développement touristique de la destination et assure l'information des publics tout comme l'événementiel et l'animation. Mme MARIE AUDE PUY",,05,SERRE CHEVALIER,2023/08/21
Collaborateur comptable / DATA contrôleur,"Dans un environnement en pleine transformation digitale, vous intégrez l'équipe chargée de la Comptabilité Fournisseurs au sein de la Direction des Services Comptables et Financiers située à Strasbourg.

Vos missions & votre évolution :
Intégré au sein d'une équipe dynamique et structurée, vos principales missions seront :

 - Réalisation des travaux quotidiens de production comptable : saisie de factures de frais généraux et d'immobilisation, analyse et suivi de comptes, etc.,
 - Identification des cas problématiques et potentiels d'optimisation, en étant force de proposition dans leur résolution,
- Épauler le management dans la mise en place d'outils de digitalisation, notamment pour l'intégration de la data en comptabilité,
- Aide à la préparation d'indicateurs financiers : reporting, KPI, etc.

Le profil idéal :
- Vous êtes diplômé d'un Bac+3 ou équivalent en Comptabilité, Gestion, Audit ou Finances, ou êtes issu d'une formation scientifique avec de solides connaissances comptables,
- Vous justifiez d'une première expérience professionnelle réussie dans l'un de ces domaines, idéalement en cabinet d'expertise comptable,
 - Vous maîtrisez parfaitement les outils informatiques (notamment Excel, voir VBA) et avez une forte appétence pour les nouvelles technologies,
- Vous avez un goût prononcé pour le travail en équipe,
- Vous avez un très fort sens de l'organisation,
- Vous êtes rigoureux, autonome et orienté « optimisation »,
- Vous aimez travailler dans un contexte international et très dynamique,
- La maîtrise de l'allemand et/ou de l'anglais est un plus.

Ce que nous vous proposons :
- Un poste en CDI au sein de notre siège administratif à Strasbourg,
- Un package d'avantages intéressant : rémunération attractive sur 13 mois, participation et/ ou d'intéressement, prime de cooptation, mutuelle, CSE,
- Un accord télétravail jusqu'à 2 jours par semaine selon vos missions,
- Une formation approfondie à nos métiers et à nos process,
- Des nouveaux locaux inspirants et un environnement de travail agréable.
Tous nos postes sont ouverts aux personnes en situation de handicap. Selon les besoins spécifiques de chacun, un aménagement matériel et/ou organisationnel du poste de travail sera étudié.",35H Travail en journée,,Contrat à durée indéterminée,1 an,,"audit comptable, audit comptable et financier, concevoir des supports de suivi et de gestion, expliquer et faire respecter les règles et procédures, méthodes et procédures de contrôle comptable, procédures de contrôle comptable, réaliser des opérations comptables, utiliser les outils bureautiques, élaborer des procédures administratives ou comptables, kpi, mise en place d'outils comptables (ex : data), préparation d'indicateurs financiers, reporting",Agent de maîtrise,Activités des sièges sociaux,LIDL,250 à 499 salariés,,,67,STRASBOURG,2023/08/21
Responsable de suivi des programmes,"Au sein de la direction de l'intégration et sous la direction du directeur, votre mission principale sera de de rédiger, suivre, analyser, synthétiser, exploiter l'ensemble des documents préparatoires à la mise en place de projets complexes.

Vous interviendrez en appui d'une équipe pluridisciplinaire dans le cadre des missions suivantes :

Participation à la construction des dossiers de demandes de financement annuelles pour l'ensemble des actions menées par les différents services de sa direction de rattachement ;
Elaboration des bilans et rapports annuels à transmettre au financeur pour chacune de ces différentes actions ;
Elaboration des nouveaux projets mis en place par sa direction de rattachement, rédaction des appels à projet et /ou des marchés publics ;
Participation aux tâches de suivi statistique, par compilation et extraction des logiciels métiers et autres bases de données disponibles ou à construire ;
Intervention en matière de compilation des productions des différents dispositifs d'hébergement relevant de sa direction, de relecture et de mise en cohérence s'agissant de la rédaction du rapport d'activité annuel de l'association 
Affectation : Siège de l'association (Villeurbanne)

Poste à pourvoir : CDI à pourvoir dès que possible 

Rémunération et avantages : Sur la base de la convention collective FEHAP51, salaire brut mensuel entre 2257 € (selon expérience sur poste similaire) ; prime conventionnelle de 5% versée bi-annuellement, mutuelle, RTT, CSE (Tickets restaurants, offres culturelles, etc.).

Profil recherché
Bac +3 gestion des réseaux d'information, data scientist, gestion de projet...
Utilisation avertie des logiciels bureautiques : Word, Excel principalement
Connaissance souhaitée du secteur de l'asile 
Esprit d'analyse et de synthèse
Connaissances en gestion d'un système d'information
Rigueur, appétence pour le travail administratif, le traitement de données statistiques et attrait pour l'écrit en général.",35H Travail en journée,2257.0,Contrat à durée indéterminée,Débutant accepté,"Bac+3, Bac+4 ou équivalents","adapter les outils de traitement statistique de données, définir et faire évoluer des procédés de traitement de l'information, présenter et diffuser les résultats des études réalisées, réaliser une étude, rédiger l'information produite",Agent de maîtrise,Action sociale sans hébergement n.c.a.,FORUM REFUGIES,200 à 249 salariés,Association reconnue en France et en Europe dans le domaine de l'accueil des demandeurs d'asile et l'intégration des réfugiés.,,69,VILLEURBANNE,2023/08/18
Charge operat. marketing,"Le poste :
Rassemble les données chiffrées d?une entreprise dans un seul outil et définit les règles de gestion de nettoyage pour supprimer les doublons. Met au point des algorithmes pour les exploiter et en tirer des graphiques faciles à comprendre et à exploiter. Présente ses résultats à la direction commerciale ou générale et propose des possibilités d?en tirer parti. Participe aux ateliers d?expression des besoins internes et des clients. Organise une veille sur les évolutions technologiques.


Profil recherché :
Être à l'aise avec Excel (Tableaux croisés, fonctions) 
Être issu d'une formation en informatique est un plus 
Possibilités d'évolutions sur un poste de Développeur Informatique ou Business Analyst possible. 
Tous nos postes sont ouverts aux personnes en situation de handicap.",35H Travail en journée,15.38 - 19.23,Contrat à durée indéterminée,1 an,,"adapter les outils de traitement statistique de données, définir et faire évoluer des procédés de traitement de l'information, présenter et diffuser les résultats des études réalisées, réaliser une étude, rédiger l'information produite",Technicien,Activités des agences de travail temporaire,PROMAN,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,tableau,25,PONTARLIER,2023/08/21
